id,lat,long,code
14827600,54.086398,-4.75075,47789
14829773,51.39951,0.01475,56101
14837638,51.51156,0.0,66190
14892324,50.70865,-3.5272,82190
14899965,51.53096,0.07745,88990
15163676,55.874679,-4.237615,43210
15189300,56.53537,-3.47247,45200
15248523,51.71991,0.0,81221
15252428,51.49184,-0.26267,62020
15268658,51.571968,-0.401913,62020
15279653,53.76072,-2.74722,25120
15293938,53.26056,-1.91821,74909
15301794,53.98813,-1.10306,75000
15304079,51.590784,-0.102375,62020
15316190,51.35661,-0.17039,56101
15580413,53.39628,-2.56977,45200
15712998,52.43436,-1.50587,47110
15725430,53.10495,-2.01915,62020
15750823,51.02705,-3.13117,27120
15791122,51.91475,-1.09645,62020
15817813,51.50057,0.0,62020
15858205,56.65344,-3.66904,55100
15937161,51.93035,0.42024,01621
15941530,51.6222,-0.15042,43210
15962410,51.516703,-0.138444,64205
15978636,51.36822,-0.11392,74909
15982784,54.582113,-5.94082,87300
16000761,53.786962,-0.377312,85100
16022549,54.951487,-6.556986,47110
16028832,51.475837,0.121019,86101
16029130,53.08294,-2.02008,45200
16033105,53.34384,-3.01511,62020
16042553,51.64478,-0.36574,56101
16048821,53.33629,-1.46106,88910
16053828,51.873679,-0.505371,43210
16054676,55.77987,-4.05221,43210
16062255,51.479234,-0.610326,56101
16074451,51.383037,-2.364334,74909
16146187,51.37752,0.11786,62020
16178255,54.964706,-1.525647,43210
16348556,51.50956,-0.13164,74909
16446751,57.18399,-2.53958,01500
16502334,50.436929,-3.71386,55100
16507570,53.64354,-1.74349,53100
16516191,51.504611,-0.193273,62020
16629443,51.54645,0.00617,47110
16704426,52.719453,-1.348424,43210
16728752,51.524624,-0.102229,62020
16732333,51.52488,-0.14142,64205
16792573,51.51699,0.0,56101
16810151,53.442335,-2.271305,88990
16816865,51.85475,0.96041,43210
16826499,52.952103,-1.147023,56101
16829211,53.70955,-0.1139,80200
21087518,53.5486,-2.39517,45200
21088526,51.51169,-0.13367,56101
21088574,50.80966,-2.74067,56101
21088584,51.502373,-0.388402,62020
21089012,51.507223,-0.609173,87200
21090274,51.471007,-0.652501,62020
21090285,52.07821,0.0,62020
21091188,55.581257,-1.652789,43210
21091248,53.77248,-1.79508,25120
21091702,52.75037,-1.93569,74909
21092093,51.59299,-0.179214,80200
21092252,51.526957,-0.446975,25120
21092256,53.657305,-1.789827,87300
21092702,51.368553,-0.195465,62020
21092758,51.51468,-0.12361,87300
21093305,56.00989,-3.7317,43210
21093675,52.587443,1.725727,82190
21093947,51.49393,-0.20505,46180
21099727,51.51154,-0.59158,78100
00683399,51.51726,-0.11223,74909
01229226,53.553572,-2.643744,43210
02390973,51.48242,-3.17782,66190
02743910,52.53695,-0.99305,74909
02885858,52.272561,-1.597268,62020
03065809,52.66065,-3.14966,62020
03457587,51.349339,-0.215665,81300
03473712,50.40353,-4.24997,74909
03957307,53.10147,-2.42988,45200
04131230,53.76655,-1.55698,47110
04144077,51.59069,-0.3747,80200
04148764,51.81928,-0.81633,88990
04176079,52.539017,-2.805459,45200
04243666,52.40234,-4.04223,43210
04435397,53.839147,-1.637661,74909
04468917,51.39767,0.17256,62020
04582782,51.59338,-3.07084,35130
04826394,51.54224,0.70826,81300
05143433,54.898272,-2.967314,55100
05162841,51.2772,-1.10665,47789
05165700,51.59164,0.04517,47789
05517543,52.37518,1.12211,75000
05525396,53.40959,-2.349801,43210
05530614,51.528977,-3.229059,43210
05530784,51.99433,-2.31407,74909
05896347,51.326413,0.438335,61900
05899155,51.893376,-2.079033,62020
06287482,51.79903,-0.18943,45200
06585170,51.41411,-1.51846,74909
06610361,51.37522,0.0,62020
06690462,50.735825,-1.826327,62020
06738343,52.84736,-1.30835,66190
06833179,53.812563,-1.534794,60200
06853237,53.72921,-1.97179,27400
07273286,56.41183,-5.47158,55100
07355411,55.87143,-4.25737,56101
07581867,53.63635,-2.71414,56101
07660562,51.52859,-0.28753,45200
07909736,51.6186,-0.17672,56101
07931533,52.839405,-1.648209,43210
08124348,51.39822,0.0,43210
08153761,58.96404,-3.30088,74909
08293880,51.432486,-0.472885,47789
08847236,51.548171,0.646462,43210
08907797,51.582918,0.035104,85100
08915906,51.50728,-0.38547,74909
09083449,51.60162,-0.26856,74901
09121589,51.127147,0.847473,71121
09297590,52.19886,-1.48621,45200
09387868,51.13952,-3.01144,74909
09477912,53.389141,-2.194526,88990
09631208,53.52943,-1.05711,43210
09667903,54.28958,-0.40504,55100
10174834,51.50431,-0.42062,56101
10218200,50.77611,-1.57126,55100
10401855,52.747943,-1.469568,56101
11100534,51.499112,-0.106626,55100
11187367,51.374546,-0.331732,78100
11187590,50.413251,-4.243507,43210
11225468,51.51953,-0.12941,88990
11234312,55.78711,-4.42483,81300
11261516,54.322922,-5.897847,85100
11391123,53.309359,-1.472861,43210
11582959,52.79442,-1.03359,01500
11615795,52.28221,-1.91309,85100
11653078,52.48884,-2.03229,85100
12112377,53.558104,-2.426067,43210
12772523,52.520426,-0.329489,01500
13278866,54.08781,-0.99924,43210
13704518,55.93718,-3.23528,47110
13829815,54.94416,-1.42381,74909
